SCALAR,ACTIVATION,EPOCH
1,1,615
1,1,621
1,1,592
1,1,642
1,1,780
1,1,661
1,1,776
1,1,672
1,1,606
1,1,534
1,1,589
1,1,701
1,1,670
1,1,653
1,1,632
1,1,599
1,1,719
1,1,642
1,1,632
1,1,734
1,1,688
1,1,607
1,1,688
1,1,614
1,1,682
1,1,564
1,1,666
1,1,618
1,1,709
1,1,791
1,1,777
1,1,714
1,1,662
1,1,653
1,1,608
1,1,690
1,1,685
1,1,648
1,1,648
1,1,530
1,1,690
1,1,697
1,1,656
1,1,622
1,1,659
1,1,698
1,1,663
1,1,715
1,1,663
1,1,671
1,1,623
1,1,645
1,1,701
1,1,697
1,1,852
1,1,694
1,1,661
1,1,682
1,1,727
1,1,781
1,1,633
1,1,760
1,1,691
1,1,678
1,1,731
1,1,612
1,1,665
1,1,575
1,1,578
1,1,658
1,1,622
1,1,653
1,1,774
1,1,637
1,1,793
1,1,554
1,1,736
1,1,692
1,1,614
1,1,646
1,1,602
1,1,707
1,1,666
1,1,609
1,1,672
1,1,810
1,1,631
1,1,612
1,1,639
1,1,728
1,1,634
1,1,562
1,1,819
1,1,672
1,1,686
1,1,804
1,1,660
1,1,650
1,1,586
1,1,652
