SCALAR,ACTIVATION,EPOCH
1,2,178
1,2,59
1,2,92
1,2,197
1,2,119
1,2,69
1,2,285
1,2,64
1,2,48
1,2,51
1,2,85
1,2,255
1,2,246
1,2,348
1,2,243
1,2,71
1,2,84
1,2,156
1,2,131
1,2,84
1,2,303
1,2,22
1,2,65
1,2,48
1,2,82
1,2,69
1,2,92
1,2,238
1,2,76
1,2,180
1,2,75
1,2,126
1,2,59
1,2,245
1,2,306
1,2,187
1,2,85
1,2,187
1,2,325
1,2,184
1,2,48
1,2,80
1,2,215
1,2,86
1,2,107
1,2,74
1,2,211
1,2,67
1,2,68
1,2,88
1,2,218
1,2,242
1,2,138
1,2,133
1,2,58
1,2,135
1,2,151
1,2,70
1,2,35
1,2,92
1,2,64
1,2,374
1,2,212
1,2,58
1,2,138
1,2,107
1,2,127
1,2,389
1,2,57
1,2,27
1,2,78
1,2,53
1,2,72
1,2,105
1,2,151
1,2,192
1,2,77
1,2,207
1,2,344
1,2,147
1,2,81
1,2,137
1,2,151
1,2,297
1,2,159
1,2,64
1,2,195
1,2,325
1,2,73
1,2,95
1,2,289
1,2,265
1,2,83
1,2,80
1,2,73
1,2,287
1,2,107
1,2,161
1,2,145
1,2,151
