SCALAR,ACTIVATION,EPOCH
1,3,565
1,3,548
1,3,435
1,3,554
1,3,535
1,3,438
1,3,427
1,3,553
1,3,497
1,3,395
1,3,467
1,3,472
1,3,431
1,3,422
1,3,411
1,3,541
1,3,521
1,3,467
1,3,553
1,3,384
1,3,468
1,3,495
1,3,449
1,3,471
1,3,576
1,3,437
1,3,479
1,3,458
1,3,335
1,3,565
1,3,368
1,3,542
1,3,435
1,3,514
1,3,428
1,3,499
1,3,485
1,3,444
1,3,477
1,3,337
1,3,361
1,3,478
1,3,481
1,3,512
1,3,481
1,3,534
1,3,465
1,3,523
1,3,486
1,3,450
1,3,532
1,3,466
1,3,542
1,3,463
1,3,570
1,3,554
1,3,536
1,3,442
1,3,446
1,3,551
1,3,519
1,3,482
1,3,466
1,3,468
1,3,446
1,3,381
1,3,427
1,3,472
1,3,495
1,3,479
1,3,448
1,3,425
1,3,522
1,3,571
1,3,429
1,3,448
1,3,470
1,3,482
1,3,450
1,3,474
1,3,524
1,3,366
1,3,569
1,3,522
1,3,554
1,3,508
1,3,459
1,3,451
1,3,459
1,3,474
1,3,432
1,3,485
1,3,550
1,3,554
1,3,451
1,3,515
1,3,416
1,3,356
1,3,473
1,3,398
