SCALAR,ACTIVATION,EPOCH
3,1,3012
3,1,3514
3,1,3066
3,1,3036
3,1,3037
3,1,3025
3,1,3026
3,1,3113
3,1,3545
3,1,3028
3,1,3033
3,1,3560
3,1,3520
3,1,3447
3,1,3000
3,1,3530
3,1,3477
3,1,3068
3,1,3115
3,1,3068
3,1,3095
3,1,3461
3,1,3016
3,1,3569
3,1,3602
3,1,3558
3,1,3494
3,1,2991
3,1,3493
3,1,3512
3,1,3059
3,1,3544
3,1,3068
3,1,3083
3,1,3476
3,1,3541
3,1,3530
3,1,3096
3,1,3564
3,1,3556
3,1,3541
3,1,3574
3,1,3097
3,1,3520
3,1,3537
3,1,3098
3,1,3483
3,1,3501
3,1,3056
3,1,3565
3,1,3567
3,1,3541
3,1,3603
3,1,3108
3,1,3607
3,1,3532
3,1,3054
3,1,3532
3,1,3501
3,1,3095
3,1,3525
3,1,3537
3,1,3496
3,1,3520
3,1,3415
3,1,3076
3,1,3496
3,1,3516
3,1,3495
3,1,3547
3,1,3037
3,1,3523
3,1,3515
3,1,3581
3,1,3071
3,1,3572
3,1,3052
3,1,3516
3,1,3501
3,1,3044
3,1,3475
3,1,3536
3,1,3550
3,1,3548
3,1,3493
3,1,3042
3,1,3085
3,1,2991
3,1,3537
3,1,3482
3,1,3555
3,1,3584
3,1,3476
3,1,3496
3,1,3053
3,1,3566
3,1,3486
3,1,3118
3,1,3555
3,1,3557
