SCALAR,ACTIVATION,EPOCH
3,3,2490
3,3,2479
3,3,2506
3,3,2479
3,3,2504
3,3,2486
3,3,2489
3,3,2504
3,3,2514
3,3,2524
3,3,2482
3,3,2476
3,3,2502
3,3,2480
3,3,2502
3,3,2474
3,3,2472
3,3,2479
3,3,2477
3,3,2469
3,3,2505
3,3,2466
3,3,2501
3,3,2490
3,3,2505
3,3,2474
3,3,2489
3,3,2479
3,3,2495
3,3,2491
3,3,2521
3,3,2495
3,3,2486
3,3,2477
3,3,2475
3,3,2494
3,3,2491
3,3,2473
3,3,2477
3,3,2495
3,3,2484
3,3,2501
3,3,2497
3,3,2476
3,3,2490
3,3,2489
3,3,2497
3,3,2508
3,3,2480
3,3,2474
3,3,2475
3,3,2491
3,3,2499
3,3,2471
3,3,2489
3,3,2492
3,3,2477
3,3,2499
3,3,2483
3,3,2492
3,3,2483
3,3,2480
3,3,2491
3,3,2478
3,3,2522
3,3,2480
3,3,2480
3,3,2496
3,3,2490
3,3,2498
3,3,2484
3,3,2562
3,3,2470
3,3,2469
3,3,2538
3,3,2485
3,3,2485
3,3,2486
3,3,2481
3,3,2497
3,3,2477
3,3,2495
3,3,2522
3,3,2484
3,3,2476
3,3,2486
3,3,2475
3,3,2504
3,3,2482
3,3,2517
3,3,2475
3,3,2532
3,3,2477
3,3,2489
3,3,2474
3,3,2492
3,3,2492
3,3,2488
3,3,2490
3,3,2499
