SCALAR,ACTIVATION,EPOCH
4,2,1509
4,2,4300
4,2,12359
4,2,7140
4,2,8621
4,2,12794
4,2,3037
4,2,1222
4,2,1772
4,2,2060
4,2,11516
4,2,6469
4,2,3183
4,2,3268
4,2,7250
4,2,11785
4,2,12620
4,2,2552
4,2,2619
4,2,13528
4,2,11064
4,2,2178
4,2,10322
4,2,5955
4,2,1727
4,2,6693
4,2,5085
4,2,13040
4,2,9007
4,2,4349
4,2,13699
4,2,6320
4,2,9529
4,2,7198
4,2,775
4,2,12918
4,2,10134
4,2,9617
4,2,4812
4,2,9655
4,2,10759
4,2,690
4,2,5216
4,2,12822
4,2,9544
4,2,3533
4,2,10971
4,2,26685
4,2,10388
4,2,1557
4,2,12051
4,2,12530
4,2,17815
4,2,13139
4,2,11734
4,2,11264
4,2,4005
4,2,3128
4,2,3287
4,2,9122
4,2,3108
4,2,8389
4,2,12525
4,2,2207
4,2,8687
4,2,1239
4,2,7688
4,2,13648
4,2,3646
4,2,1462
4,2,1304
4,2,7934
4,2,7159
4,2,7172
4,2,6028
4,2,7357
4,2,15605
4,2,13026
4,2,11508
4,2,8933
4,2,1229
4,2,8076
4,2,11550
4,2,10838
4,2,12565
4,2,1314
4,2,7886
4,2,2325
4,2,3386
4,2,5608
4,2,14478
4,2,2910
4,2,5308
4,2,7213
4,2,10791
4,2,2128
4,2,4235
4,2,17177
4,2,2362
4,2,6417
