SCALAR,ACTIVATION,EPOCH
5,2,14949
5,2,15751
5,2,15579
5,2,14818
5,2,14750
5,2,16226
5,2,14761
5,2,14736
5,2,14964
5,2,15660
5,2,15569
5,2,15218
5,2,15908
5,2,14931
5,2,17145
5,2,15442
5,2,14926
5,2,15068
5,2,16458
5,2,14920
5,2,15114
5,2,14472
5,2,14081
5,2,16253
5,2,14879
5,2,15448
5,2,15199
5,2,16073
5,2,15446
5,2,15194
5,2,15741
5,2,15526
5,2,15790
5,2,15894
5,2,15150
5,2,15152
5,2,16545
5,2,16035
5,2,15324
5,2,16008
5,2,15340
5,2,14667
5,2,15182
5,2,15309
5,2,16138
5,2,16225
5,2,14801
5,2,15505
5,2,15070
5,2,16083
5,2,17111
5,2,15910
5,2,15432
5,2,15247
5,2,14358
5,2,15097
5,2,15245
5,2,15587
5,2,15096
5,2,15356
5,2,14364
5,2,15905
5,2,15676
5,2,16439
5,2,16705
5,2,15401
5,2,14442
5,2,15427
5,2,14908
5,2,16177
5,2,15278
5,2,15366
5,2,15914
5,2,15208
5,2,15246
5,2,15563
5,2,15377
5,2,15607
5,2,14866
5,2,15410
5,2,15037
5,2,15600
5,2,15544
5,2,15950
5,2,15062
5,2,14304
5,2,14852
5,2,15646
5,2,14860
5,2,14842
5,2,14715
5,2,15029
5,2,15851
5,2,15804
5,2,15069
5,2,14455
5,2,16624
5,2,15602
5,2,16759
5,2,14946
