SCALAR,ACTIVATION,EPOCH
5,3,39607
5,3,39594
5,3,39599
5,3,39601
5,3,39593
5,3,39598
5,3,39624
5,3,39612
5,3,39619
5,3,39614
5,3,39603
5,3,39610
5,3,39612
5,3,39622
5,3,39604
5,3,39605
5,3,39617
5,3,39608
5,3,39625
5,3,39606
5,3,39610
5,3,39610
5,3,39643
5,3,39605
5,3,39619
5,3,39622
5,3,39600
5,3,39643
5,3,39625
5,3,39611
5,3,39619
5,3,39624
5,3,39606
5,3,39594
5,3,39617
5,3,39626
5,3,39621
5,3,39618
5,3,39618
5,3,39607
5,3,39618
5,3,39609
5,3,39613
5,3,39605
5,3,39610
5,3,39611
5,3,39604
5,3,39613
5,3,39629
5,3,39616
5,3,39607
5,3,39600
5,3,39620
5,3,39620
5,3,39603
5,3,39591
5,3,39587
5,3,39596
5,3,39620
5,3,39608
5,3,39623
5,3,39621
5,3,39604
5,3,39622
5,3,39626
5,3,39602
5,3,39599
5,3,39607
5,3,39620
5,3,39602
5,3,39624
5,3,39613
5,3,39629
5,3,39608
5,3,39627
5,3,39613
5,3,39619
5,3,39622
5,3,39608
5,3,39619
5,3,39614
5,3,39591
5,3,39607
5,3,39617
5,3,39611
5,3,39619
5,3,39628
5,3,39625
5,3,39621
5,3,39618
5,3,39609
5,3,39618
5,3,39598
5,3,39619
5,3,39610
5,3,39604
5,3,39614
5,3,39603
5,3,39594
5,3,39588
