SCALAR,ACTIVATION,EPOCH
6,1,1002
6,1,991
6,1,944
6,1,965
6,1,1148
6,1,1304
6,1,982
6,1,1068
6,1,1116
6,1,1406
6,1,1084
6,1,928
6,1,914
6,1,1383
6,1,1111
6,1,1134
6,1,1137
6,1,1279
6,1,1346
6,1,1180
6,1,1236
6,1,1143
6,1,1251
6,1,1032
6,1,1056
6,1,1057
6,1,1158
6,1,954
6,1,1080
6,1,1386
6,1,1142
6,1,1124
6,1,1003
6,1,957
6,1,909
6,1,1131
6,1,1107
6,1,1192
6,1,1198
6,1,1134
6,1,1354
6,1,1145
6,1,1307
6,1,1076
6,1,1186
6,1,906
6,1,1099
6,1,1061
6,1,953
6,1,1273
6,1,1056
6,1,1108
6,1,1247
6,1,1073
6,1,993
6,1,1021
6,1,1093
6,1,904
6,1,891
6,1,1198
6,1,933
6,1,1310
6,1,887
6,1,1043
6,1,976
6,1,1061
6,1,1266
6,1,1205
6,1,1044
6,1,1174
6,1,1085
6,1,907
6,1,998
6,1,883
6,1,1361
6,1,1176
6,1,1185
6,1,914
6,1,1032
6,1,1095
6,1,1008
6,1,1052
6,1,1067
6,1,1042
6,1,1083
6,1,1014
6,1,1166
6,1,988
6,1,981
6,1,1329
6,1,889
6,1,947
6,1,996
6,1,884
6,1,1001
6,1,847
6,1,1015
6,1,1212
6,1,960
6,1,983
