SCALAR,ACTIVATION,EPOCH
6,3,1064
6,3,441
6,3,612
6,3,1028
6,3,671
6,3,670
6,3,1268
6,3,659
6,3,845
6,3,474
6,3,654
6,3,645
6,3,556
6,3,908
6,3,857
6,3,782
6,3,1068
6,3,619
6,3,945
6,3,486
6,3,1104
6,3,656
6,3,879
6,3,599
6,3,598
6,3,630
6,3,873
6,3,783
6,3,761
6,3,865
6,3,792
6,3,740
6,3,613
6,3,659
6,3,993
6,3,932
6,3,1020
6,3,855
6,3,901
6,3,832
6,3,663
6,3,962
6,3,657
6,3,796
6,3,745
6,3,597
6,3,562
6,3,1333
6,3,655
6,3,755
6,3,491
6,3,754
6,3,529
6,3,689
6,3,618
6,3,645
6,3,583
6,3,692
6,3,684
6,3,820
6,3,571
6,3,800
6,3,802
6,3,613
6,3,798
6,3,645
6,3,531
6,3,875
6,3,981
6,3,1071
6,3,1139
6,3,583
6,3,728
6,3,679
6,3,774
6,3,553
6,3,996
6,3,606
6,3,478
6,3,503
6,3,807
6,3,654
6,3,558
6,3,920
6,3,777
6,3,418
6,3,936
6,3,1122
6,3,432
6,3,683
6,3,588
6,3,846
6,3,726
6,3,424
6,3,1247
6,3,895
6,3,659
6,3,663
6,3,1070
6,3,674
