SCALAR,ACTIVATION,EPOCH
7,2,4466
7,2,4068
7,2,503
7,2,204
7,2,1537
7,2,318
7,2,440
7,2,675
7,2,1409
7,2,214
7,2,479
7,2,441
7,2,995
7,2,484
7,2,269
7,2,3175
7,2,6432
7,2,9275
7,2,200
7,2,492
7,2,906
7,2,5811
7,2,787
7,2,9723
7,2,6878
7,2,2232
7,2,222
7,2,311
7,2,490
7,2,459
7,2,749
7,2,532
7,2,6199
7,2,1656
7,2,529
7,2,1216
7,2,292
7,2,1334
7,2,7913
7,2,1276
7,2,337
7,2,521
7,2,1059
7,2,567
7,2,3086
7,2,194
7,2,338
7,2,7622
7,2,396
7,2,11085
7,2,600
7,2,8490
7,2,1763
7,2,567
7,2,1363
7,2,1503
7,2,1512
7,2,5435
7,2,11929
7,2,3145
7,2,391
7,2,8261
7,2,292
7,2,1414
7,2,1030
7,2,414
7,2,255
7,2,1358
7,2,9278
7,2,9098
7,2,2175
7,2,4404
7,2,6706
7,2,573
7,2,571
7,2,2847
7,2,1595
7,2,449
7,2,883
7,2,3782
7,2,399
7,2,1087
7,2,881
7,2,1381
7,2,374
7,2,5258
7,2,9038
7,2,3923
7,2,302
7,2,668
7,2,403
7,2,226
7,2,3499
7,2,326
7,2,217
7,2,4462
7,2,1501
7,2,1009
7,2,291
7,2,4756
