SCALAR,ACTIVATION,EPOCH
8,1,2471
8,1,4385
8,1,992
8,1,817
8,1,1347
8,1,1964
8,1,1034
8,1,1958
8,1,906
8,1,2603
8,1,6777
8,1,826
8,1,7552
8,1,976
8,1,2014
8,1,845
8,1,6342
8,1,5049
8,1,6550
8,1,773
8,1,1981
8,1,3910
8,1,779
8,1,6970
8,1,2002
8,1,1020
8,1,836
8,1,3228
8,1,1839
8,1,1733
8,1,1019
8,1,1744
8,1,1111
8,1,993
8,1,800
8,1,1851
8,1,636
8,1,1575
8,1,1291
8,1,1027
8,1,1036
8,1,5233
8,1,12155
8,1,1288
8,1,1043
8,1,2830
8,1,1584
8,1,2188
8,1,1449
8,1,1089
8,1,724
8,1,2431
8,1,1156
8,1,1325
8,1,997
8,1,5161
8,1,829
8,1,743
8,1,1904
8,1,1064
8,1,1609
8,1,1588
8,1,3249
8,1,4170
8,1,2018
8,1,923
8,1,1331
8,1,1772
8,1,3809
8,1,3263
8,1,5528
8,1,2720
8,1,3648
8,1,1263
8,1,5800
8,1,1126
8,1,2175
8,1,1246
8,1,4775
8,1,952
8,1,1503
8,1,910
8,1,2055
8,1,1005
8,1,7976
8,1,9760
8,1,1929
8,1,874
8,1,2442
8,1,1996
8,1,5271
8,1,921
8,1,1954
8,1,808
8,1,1049
8,1,9537
8,1,1846
8,1,1122
8,1,1164
8,1,986
