SCALAR,ACTIVATION,EPOCH
8,2,60222
8,2,206471
8,2,45957
8,2,60381
8,2,59441
8,2,63651
8,2,42231
8,2,73400
8,2,38697
8,2,119248
8,2,41960
8,2,51081
8,2,49871
8,2,64915
8,2,62536
8,2,110281
8,2,62420
8,2,49595
8,2,62922
8,2,76326
8,2,42509
8,2,34143
8,2,39013
8,2,122963
8,2,26988
8,2,59062
8,2,42656
8,2,130575
8,2,48972
8,2,28244
8,2,23041
8,2,43001
8,2,50796
8,2,39406
8,2,72363
8,2,54929
8,2,52986
8,2,34424
8,2,55066
8,2,72471
8,2,89145
8,2,75832
8,2,34114
8,2,63746
8,2,77416
8,2,50797
8,2,33601
8,2,35186
8,2,60242
8,2,58881
8,2,42432
8,2,38687
8,2,94407
8,2,62669
8,2,51163
8,2,66945
8,2,74204
8,2,59276
8,2,28640
8,2,68961
8,2,94991
8,2,53589
8,2,87679
8,2,57407
8,2,82504
8,2,23567
8,2,78408
8,2,57637
8,2,125582
8,2,68900
8,2,142758
8,2,45334
8,2,84392
8,2,34554
8,2,51923
8,2,30666
8,2,75504
8,2,163379
8,2,57493
8,2,40260
8,2,22488
8,2,37140
8,2,21481
8,2,58184
8,2,53319
8,2,26064
8,2,68381
8,2,57428
8,2,24456
8,2,60899
8,2,200806
8,2,47281
8,2,51962
8,2,80473
8,2,112813
8,2,42787
8,2,56811
8,2,133062
8,2,53515
8,2,34616
