SCALAR,ACTIVATION,EPOCH
8,3,1272
8,3,2003
8,3,1533
8,3,11321
8,3,2009
8,3,1861
8,3,1794
8,3,4138
8,3,1093
8,3,2431
8,3,946
8,3,10824
8,3,1782
8,3,2403
8,3,1722
8,3,944
8,3,1441
8,3,1980
8,3,18687
8,3,1398
8,3,4472
8,3,6012
8,3,16367
8,3,7047
8,3,2479
8,3,1931
8,3,2393
8,3,24211
8,3,19926
8,3,15042
8,3,17145
8,3,25292
8,3,13296
8,3,1006
8,3,1888
8,3,2182
8,3,1938
8,3,1126
8,3,13063
8,3,1249
8,3,3483
8,3,1948
8,3,6708
8,3,1859
8,3,16734
8,3,4098
8,3,2060
8,3,2766
8,3,6274
8,3,1356
8,3,1153
8,3,2936
8,3,2127
8,3,1943
8,3,1270
8,3,2146
8,3,1942
8,3,12588
8,3,3606
8,3,4801
8,3,16713
8,3,22475
8,3,2259
8,3,1386
8,3,16417
8,3,2247
8,3,2696
8,3,1403
8,3,1136
8,3,1502
8,3,1203
8,3,22418
8,3,3848
8,3,3104
8,3,1374
8,3,1714
8,3,1350
8,3,21887
8,3,9884
8,3,1594
8,3,1194
8,3,7686
8,3,2063
8,3,2974
8,3,1536
8,3,10756
8,3,3308
8,3,1209
8,3,19158
8,3,9610
8,3,1004
8,3,6507
8,3,1586
8,3,2253
8,3,1308
8,3,1644
8,3,2432
8,3,8658
8,3,25456
8,3,2373
