SCALAR,ACTIVATION,EPOCH
9,2,14474
9,2,13486
9,2,12806
9,2,12852
9,2,13595
9,2,13353
9,2,12427
9,2,12906
9,2,13023
9,2,13408
9,2,13153
9,2,13472
9,2,13505
9,2,13185
9,2,12737
9,2,13565
9,2,13834
9,2,13294
9,2,13050
9,2,14329
9,2,14224
9,2,15004
9,2,14219
9,2,12564
9,2,14604
9,2,13572
9,2,12336
9,2,13323
9,2,12897
9,2,13048
9,2,13357
9,2,13690
9,2,13823
9,2,13375
9,2,14231
9,2,13346
9,2,14340
9,2,14129
9,2,13810
9,2,12704
9,2,12903
9,2,13934
9,2,13435
9,2,13476
9,2,13985
9,2,13786
9,2,13463
9,2,13628
9,2,13313
9,2,12644
9,2,13706
9,2,13972
9,2,14861
9,2,13780
9,2,14006
9,2,13442
9,2,13876
9,2,13401
9,2,12866
9,2,13443
9,2,12605
9,2,14059
9,2,13594
9,2,13826
9,2,12871
9,2,13298
9,2,12687
9,2,12225
9,2,13209
9,2,12651
9,2,13570
9,2,15595
9,2,13622
9,2,13751
9,2,14352
9,2,15306
9,2,13938
9,2,14115
9,2,13992
9,2,13444
9,2,15124
9,2,12885
9,2,15031
9,2,13078
9,2,13239
9,2,12965
9,2,13851
9,2,12622
9,2,12244
9,2,12399
9,2,12980
9,2,12916
9,2,14521
9,2,13336
9,2,15387
9,2,13470
9,2,13491
9,2,12688
9,2,12950
9,2,14345
