SCALAR,ACTIVATION,EPOCH
3,2,23990
3,2,4254
3,2,4259
3,2,3170
3,2,3736
3,2,8559
3,2,5337
3,2,3782
3,2,71528
3,2,5334
3,2,8227
3,2,30694
3,2,5405
3,2,1000000
3,2,3888
3,2,3788
3,2,5480
3,2,3657
3,2,3637
3,2,71951
3,2,5476
3,2,716324
3,2,3584
3,2,3617
3,2,4027
3,2,3501
3,2,7337
3,2,112657
3,2,7315
3,2,8255
3,2,87314
3,2,4553
3,2,8230
3,2,4438
3,2,3736
3,2,3248
3,2,5394
3,2,8135
3,2,3397
3,2,3169
3,2,4372
3,2,5086
3,2,8483
3,2,3616
3,2,5444
3,2,3722
3,2,5369
3,2,8233
3,2,5406
3,2,3409
3,2,8089
3,2,23826
3,2,5479
3,2,3781
3,2,87741
3,2,3541
3,2,8283
3,2,110081
3,2,3247
3,2,91326
3,2,3248
3,2,4522
3,2,43891
3,2,3615
3,2,3724
3,2,5384
3,2,7298
3,2,4290
3,2,119652
3,2,4370
3,2,8246
3,2,8280
3,2,75232
3,2,7910
3,2,3403
3,2,3513
3,2,5431
3,2,6078
3,2,3447
3,2,4177
3,2,42742
3,2,3944
3,2,3326
3,2,8232
3,2,5422
3,2,5446
3,2,8166
3,2,8114
3,2,10015
3,2,3868
3,2,1000000
3,2,3233
3,2,538397
3,2,76090
3,2,6240
3,2,151072
3,2,143313
3,2,3654
3,2,11697
3,2,6246
