SCALAR,ACTIVATION,EPOCH
3,1,7318
3,1,7818
3,1,8184
3,1,5339
3,1,6609
3,1,7906
3,1,5696
3,1,4651
3,1,6262
3,1,7509
3,1,5956
3,1,5454
3,1,8116
3,1,5109
3,1,7576
3,1,6364
3,1,7709
3,1,5407
3,1,6221
3,1,6205
3,1,6273
3,1,6125
3,1,7394
3,1,6787
3,1,8631
3,1,7645
3,1,7360
3,1,4784
3,1,7333
3,1,5400
3,1,6194
3,1,5820
3,1,6158
3,1,6794
3,1,5276
3,1,7262
3,1,6527
3,1,5740
3,1,7261
3,1,6334
3,1,7372
3,1,7261
3,1,6137
3,1,5543
3,1,7430
3,1,7020
3,1,6841
3,1,5586
3,1,7661
3,1,8102
3,1,5645
3,1,7582
3,1,6927
3,1,5857
3,1,4964
3,1,5147
3,1,5613
3,1,5328
3,1,5428
3,1,5475
3,1,10795
3,1,8303
3,1,6209
3,1,6222
3,1,6830
3,1,5215
3,1,6017
3,1,7572
3,1,8050
3,1,6141
3,1,5564
3,1,7427
3,1,5771
3,1,6695
3,1,6562
3,1,5488
3,1,5793
3,1,5532
3,1,7814
3,1,6853
3,1,5222
3,1,7121
3,1,5620
3,1,6880
3,1,5385
3,1,6875
3,1,9306
3,1,5876
3,1,7819
3,1,6245
3,1,6464
3,1,6043
3,1,6533
3,1,6299
3,1,6086
3,1,8931
3,1,6169
3,1,5339
3,1,6545
3,1,6636
