SCALAR,ACTIVATION,EPOCH
3,3,13217
3,3,9763
3,3,10154
3,3,12946
3,3,14263
3,3,9463
3,3,74125
3,3,1000000
3,3,9750
3,3,13227
3,3,8034
3,3,13165
3,3,12942
3,3,1000000
3,3,16978
3,3,16933
3,3,9875
3,3,14000
3,3,29107
3,3,1000000
3,3,10954
3,3,9132
3,3,12423
3,3,8273
3,3,1000000
3,3,9795
3,3,13640
3,3,7924
3,3,13803
3,3,10691
3,3,14579
3,3,1000000
3,3,28561
3,3,17103
3,3,65879
3,3,8720
3,3,8001
3,3,22170
3,3,10068
3,3,12672
3,3,7408
3,3,13369
3,3,12297
3,3,1000000
3,3,386034
3,3,13381
3,3,20559
3,3,14721
3,3,13018
3,3,9675
3,3,1000000
3,3,8255
3,3,13725
3,3,95161
3,3,11610
3,3,35437
3,3,31150
3,3,17638
3,3,12920
3,3,208247
3,3,91360
3,3,1000000
3,3,10020
3,3,12559
3,3,13093
3,3,9904
3,3,12886
3,3,9229
3,3,13668
3,3,15097
3,3,9885
3,3,10289
3,3,200041
3,3,7130
3,3,1000000
3,3,16951
3,3,40389
3,3,10118
3,3,33768
3,3,1000000
3,3,7967
3,3,8094
3,3,539711
3,3,9301
3,3,70705
3,3,10611
3,3,30809
3,3,13751
3,3,13251
3,3,10171
3,3,1000000
3,3,9289
3,3,341472
3,3,1000000
3,3,1000000
3,3,9356
3,3,11255
3,3,12543
3,3,13300
3,3,9174
