SCALAR,ACTIVATION,EPOCH
5,2,16410
5,2,13901
5,2,17892
5,2,13756
5,2,15376
5,2,15021
5,2,14354
5,2,15054
5,2,35111
5,2,14919
5,2,13490
5,2,1000000
5,2,15869
5,2,14620
5,2,1000000
5,2,14015
5,2,14038
5,2,14364
5,2,15560
5,2,1000000
5,2,36755
5,2,13917
5,2,17309
5,2,16120
5,2,15507
5,2,30041
5,2,16808
5,2,14756
5,2,14809
5,2,13977
5,2,18484
5,2,1000000
5,2,14299
5,2,13298
5,2,16490
5,2,40794
5,2,13474
5,2,14413
5,2,14997
5,2,14980
5,2,1000000
5,2,14318
5,2,13744
5,2,13206
5,2,13677
5,2,14439
5,2,15925
5,2,13576
5,2,14760
5,2,15791
5,2,14577
5,2,16120
5,2,13768
5,2,1000000
5,2,14032
5,2,1000000
5,2,76056
5,2,15334
5,2,14273
5,2,14458
5,2,13890
5,2,16023
5,2,14363
5,2,14438
5,2,15163
5,2,1000000
5,2,1000000
5,2,15964
5,2,13530
5,2,15732
5,2,14144
5,2,13958
5,2,13927
5,2,1000000
5,2,14084
5,2,14736
5,2,13918
5,2,15907
5,2,1000000
5,2,14340
5,2,13519
5,2,21100
5,2,14233
5,2,14132
5,2,13252
5,2,13149
5,2,13894
5,2,15617
5,2,14765
5,2,1000000
5,2,14965
5,2,14534
5,2,14851
5,2,17097
5,2,13716
5,2,15161
5,2,14339
5,2,13991
5,2,15494
5,2,1000000
