SCALAR,ACTIVATION,EPOCH
5,1,16564
5,1,15098
5,1,16274
5,1,16416
5,1,16306
5,1,16310
5,1,14442
5,1,16203
5,1,15998
5,1,16067
5,1,15668
5,1,15309
5,1,16565
5,1,15976
5,1,15378
5,1,15822
5,1,15002
5,1,15254
5,1,15506
5,1,14492
5,1,15393
5,1,15691
5,1,15588
5,1,16473
5,1,15432
5,1,15609
5,1,14563
5,1,16469
5,1,16498
5,1,16144
5,1,16057
5,1,16206
5,1,15151
5,1,15119
5,1,16450
5,1,15815
5,1,16060
5,1,16814
5,1,17094
5,1,17537
5,1,15469
5,1,15503
5,1,16019
5,1,16791
5,1,16917
5,1,18160
5,1,16581
5,1,15689
5,1,16052
5,1,15773
5,1,15512
5,1,15468
5,1,15703
5,1,15801
5,1,16226
5,1,15301
5,1,15571
5,1,15943
5,1,15870
5,1,15611
5,1,15043
5,1,15423
5,1,16287
5,1,16297
5,1,17564
5,1,17105
5,1,16363
5,1,16898
5,1,15665
5,1,16361
5,1,15606
5,1,16440
5,1,16875
5,1,15667
5,1,15976
5,1,15305
5,1,17524
5,1,15510
5,1,16880
5,1,15019
5,1,15959
5,1,15734
5,1,15450
5,1,15684
5,1,15913
5,1,15437
5,1,16206
5,1,16467
5,1,16206
5,1,15826
5,1,15700
5,1,15562
5,1,16151
5,1,18048
5,1,14631
5,1,15709
5,1,15292
5,1,16012
5,1,15973
5,1,15698
