SCALAR,ACTIVATION,EPOCH
9,2,1000000
9,2,12012
9,2,11672
9,2,11798
9,2,12574
9,2,12248
9,2,14032
9,2,13330
9,2,13482
9,2,12234
9,2,11302
9,2,11974
9,2,13716
9,2,13493
9,2,13762
9,2,12511
9,2,13070
9,2,12246
9,2,13059
9,2,12349
9,2,13682
9,2,13721
9,2,12198
9,2,12034
9,2,12276
9,2,15441
9,2,13368
9,2,11835
9,2,11579
9,2,11258
9,2,11938
9,2,12048
9,2,12892
9,2,13943
9,2,12240
9,2,12629
9,2,11490
9,2,11568
9,2,11914
9,2,12704
9,2,13353
9,2,12157
9,2,12578
9,2,11887
9,2,11942
9,2,14877
9,2,12218
9,2,12474
9,2,12654
9,2,12374
9,2,12282
9,2,15320
9,2,13253
9,2,11994
9,2,15445
9,2,12318
9,2,11549
9,2,11844
9,2,12163
9,2,11545
9,2,13455
9,2,11697
9,2,12454
9,2,19524
9,2,13837
9,2,12089
9,2,13172
9,2,11625
9,2,13439
9,2,14900
9,2,15204
9,2,12216
9,2,13021
9,2,16673
9,2,12500
9,2,12355
9,2,12748
9,2,15014
9,2,11736
9,2,11684
9,2,12355
9,2,11767
9,2,13580
9,2,12949
9,2,13168
9,2,12592
9,2,11949
9,2,12588
9,2,11756
9,2,13061
9,2,13311
9,2,11585
9,2,13413
9,2,13972
9,2,11954
9,2,12380
9,2,19329
9,2,11822
9,2,12758
9,2,14032
