SCALAR,ACTIVATION,EPOCH
9,1,13459
9,1,13547
9,1,13028
9,1,14177
9,1,14264
9,1,14014
9,1,12537
9,1,13612
9,1,14076
9,1,14407
9,1,14137
9,1,14005
9,1,13246
9,1,13546
9,1,13670
9,1,15108
9,1,13009
9,1,13573
9,1,13790
9,1,14093
9,1,13926
9,1,13721
9,1,13048
9,1,14076
9,1,13972
9,1,13359
9,1,13872
9,1,14332
9,1,14291
9,1,14952
9,1,14240
9,1,13404
9,1,13877
9,1,14806
9,1,12910
9,1,14686
9,1,14057
9,1,12913
9,1,14621
9,1,13807
9,1,13755
9,1,14379
9,1,13634
9,1,14555
9,1,13797
9,1,13550
9,1,14172
9,1,13892
9,1,14230
9,1,14538
9,1,13650
9,1,13370
9,1,14395
9,1,13347
9,1,15296
9,1,13229
9,1,13692
9,1,13869
9,1,13737
9,1,14428
9,1,13236
9,1,12982
9,1,14187
9,1,14129
9,1,14712
9,1,13978
9,1,13937
9,1,13707
9,1,13167
9,1,14690
9,1,14317
9,1,12251
9,1,14205
9,1,14410
9,1,14406
9,1,14087
9,1,13810
9,1,13291
9,1,13402
9,1,13951
9,1,13903
9,1,13666
9,1,14064
9,1,14637
9,1,13533
9,1,15021
9,1,16013
9,1,14837
9,1,13123
9,1,13519
9,1,12653
9,1,14745
9,1,13759
9,1,13588
9,1,13375
9,1,14671
9,1,13869
9,1,13451
9,1,13239
9,1,13896
