SCALAR,ACTIVATION,EPOCH
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
9,3,1000000
