SCALAR,ACTIVATION,EPOCH
1,2,129
1,2,120
1,2,60
1,2,46
1,2,126
1,2,52
1,2,106
1,2,108
1,2,105
1,2,108
1,2,124
1,2,81
1,2,53
1,2,131
1,2,79
1,2,107
1,2,100
1,2,119
1,2,170
1,2,62
1,2,56
1,2,72
1,2,98
1,2,60
1,2,65
1,2,104
1,2,81
1,2,116
1,2,72
1,2,65
1,2,121
1,2,60
1,2,112
1,2,97
1,2,40
1,2,64
1,2,199
1,2,107
1,2,78
1,2,124
1,2,80
1,2,113
1,2,64
1,2,85
1,2,70
1,2,106
1,2,61
1,2,68
1,2,88
1,2,29
1,2,117
1,2,55
1,2,54
1,2,132
1,2,79
1,2,109
1,2,51
1,2,131
1,2,29
1,2,45
1,2,161
1,2,68
1,2,159
1,2,55
1,2,68
1,2,46
1,2,108
1,2,87
1,2,107
1,2,74
1,2,74
1,2,130
1,2,140
1,2,145
1,2,57
1,2,124
1,2,61
1,2,177
1,2,67
1,2,62
1,2,60
1,2,166
1,2,81
1,2,82
1,2,60
1,2,142
1,2,50
1,2,124
1,2,78
1,2,95
1,2,50
1,2,90
1,2,65
1,2,70
1,2,49
1,2,48
1,2,184
1,2,37
1,2,53
1,2,85
