SCALAR,ACTIVATION,EPOCH
1,1,211
1,1,59
1,1,47
1,1,68
1,1,53
1,1,70
1,1,103
1,1,67
1,1,104
1,1,150
1,1,96
1,1,122
1,1,69
1,1,98
1,1,65
1,1,47
1,1,221
1,1,83
1,1,82
1,1,88
1,1,124
1,1,85
1,1,104
1,1,79
1,1,101
1,1,68
1,1,34
1,1,33
1,1,111
1,1,64
1,1,77
1,1,62
1,1,81
1,1,72
1,1,85
1,1,98
1,1,59
1,1,84
1,1,86
1,1,82
1,1,136
1,1,150
1,1,87
1,1,40
1,1,59
1,1,104
1,1,98
1,1,103
1,1,47
1,1,109
1,1,110
1,1,69
1,1,122
1,1,89
1,1,38
1,1,95
1,1,67
1,1,43
1,1,101
1,1,58
1,1,58
1,1,107
1,1,136
1,1,21
1,1,98
1,1,145
1,1,78
1,1,74
1,1,76
1,1,54
1,1,83
1,1,118
1,1,97
1,1,69
1,1,96
1,1,108
1,1,106
1,1,87
1,1,44
1,1,101
1,1,98
1,1,147
1,1,72
1,1,65
1,1,62
1,1,68
1,1,82
1,1,59
1,1,56
1,1,107
1,1,87
1,1,111
1,1,109
1,1,58
1,1,92
1,1,80
1,1,95
1,1,99
1,1,56
1,1,82
