SCALAR,ACTIVATION,EPOCH
1,3,196
1,3,158
1,3,65
1,3,141
1,3,148
1,3,121
1,3,52
1,3,62
1,3,187
1,3,54
1,3,78
1,3,59
1,3,43
1,3,48
1,3,54
1,3,115
1,3,137
1,3,69
1,3,44
1,3,102
1,3,69
1,3,65
1,3,204
1,3,83
1,3,72
1,3,62
1,3,64
1,3,84
1,3,133
1,3,116
1,3,57
1,3,97
1,3,50
1,3,39
1,3,179
1,3,215
1,3,60
1,3,145
1,3,53
1,3,54
1,3,92
1,3,91
1,3,87
1,3,86
1,3,217
1,3,112
1,3,105
1,3,60
1,3,64
1,3,42
1,3,72
1,3,114
1,3,72
1,3,182
1,3,66
1,3,125
1,3,77
1,3,101
1,3,60
1,3,139
1,3,180
1,3,62
1,3,126
1,3,33
1,3,197
1,3,140
1,3,176
1,3,68
1,3,148
1,3,106
1,3,54
1,3,93
1,3,51
1,3,73
1,3,61
1,3,123
1,3,59
1,3,46
1,3,192
1,3,46
1,3,43
1,3,123
1,3,32
1,3,56
1,3,37
1,3,52
1,3,167
1,3,140
1,3,65
1,3,148
1,3,112
1,3,77
1,3,185
1,3,75
1,3,44
1,3,114
1,3,121
1,3,64
1,3,68
1,3,166
