SCALAR,ACTIVATION,EPOCH
7,2,174
7,2,365
7,2,612
7,2,184
7,2,216
7,2,299
7,2,208
7,2,197
7,2,198
7,2,337
7,2,209
7,2,200
7,2,344
7,2,284
7,2,251
7,2,205
7,2,216
7,2,307
7,2,164
7,2,384
7,2,191
7,2,287
7,2,243
7,2,225
7,2,282
7,2,313
7,2,347
7,2,263
7,2,309
7,2,375
7,2,341
7,2,310
7,2,321
7,2,197
7,2,197
7,2,297
7,2,288
7,2,197
7,2,196
7,2,131
7,2,204
7,2,467
7,2,395
7,2,307
7,2,371
7,2,488
7,2,387
7,2,420
7,2,250
7,2,146
7,2,413
7,2,257
7,2,357
7,2,295
7,2,209
7,2,343
7,2,312
7,2,364
7,2,125
7,2,144
7,2,159
7,2,266
7,2,331
7,2,453
7,2,230
7,2,302
7,2,446
7,2,258
7,2,210
7,2,173
7,2,204
7,2,308
7,2,299
7,2,283
7,2,627
7,2,294
7,2,315
7,2,175
7,2,359
7,2,195
7,2,293
7,2,427
7,2,215
7,2,272
7,2,347
7,2,187
7,2,375
7,2,206
7,2,123
7,2,275
7,2,173
7,2,563
7,2,237
7,2,198
7,2,216
7,2,169
7,2,378
7,2,443
7,2,196
7,2,234
