SCALAR,ACTIVATION,EPOCH
7,1,4211
7,1,3373
7,1,644
7,1,479
7,1,341
7,1,318
7,1,870
7,1,538
7,1,646
7,1,4831
7,1,3496
7,1,556
7,1,649
7,1,197
7,1,3457
7,1,2451
7,1,899
7,1,926
7,1,1279
7,1,402
7,1,3582
7,1,3289
7,1,731
7,1,2663
7,1,590
7,1,325
7,1,1090
7,1,676
7,1,422
7,1,682
7,1,5678
7,1,1316
7,1,1131
7,1,595
7,1,406
7,1,211
7,1,537
7,1,2007
7,1,430
7,1,5164
7,1,414
7,1,297
7,1,1276
7,1,4249
7,1,489
7,1,735
7,1,363
7,1,743
7,1,1482
7,1,1142
7,1,2069
7,1,1144
7,1,461
7,1,1544
7,1,893
7,1,1204
7,1,249
7,1,1038
7,1,269
7,1,3116
7,1,288
7,1,1803
7,1,2017
7,1,275
7,1,768
7,1,492
7,1,1284
7,1,601
7,1,1038
7,1,276
7,1,327
7,1,516
7,1,523
7,1,630
7,1,726
7,1,448
7,1,2391
7,1,2868
7,1,1730
7,1,339
7,1,1027
7,1,1190
7,1,594
7,1,286
7,1,477
7,1,1482
7,1,428
7,1,4168
7,1,1115
7,1,3551
7,1,470
7,1,4836
7,1,223
7,1,415
7,1,4899
7,1,1418
7,1,801
7,1,216
7,1,1150
7,1,306
