SCALAR,ACTIVATION,EPOCH
7,3,964
7,3,766
7,3,774
7,3,644
7,3,974
7,3,495
7,3,725
7,3,860
7,3,932
7,3,965
7,3,639
7,3,732
7,3,479
7,3,630
7,3,561
7,3,717
7,3,1691
7,3,492
7,3,546
7,3,507
7,3,820
7,3,484
7,3,541
7,3,857
7,3,512
7,3,646
7,3,957
7,3,795
7,3,572
7,3,846
7,3,543
7,3,416
7,3,557
7,3,669
7,3,437
7,3,688
7,3,656
7,3,402
7,3,664
7,3,693
7,3,1028
7,3,703
7,3,767
7,3,910
7,3,944
7,3,680
7,3,405
7,3,493
7,3,601
7,3,872
7,3,606
7,3,615
7,3,799
7,3,709
7,3,760
7,3,628
7,3,868
7,3,626
7,3,1733
7,3,894
7,3,904
7,3,945
7,3,832
7,3,1041
7,3,441
7,3,1026
7,3,648
7,3,1321
7,3,676
7,3,420
7,3,759
7,3,460
7,3,479
7,3,1453
7,3,409
7,3,830
7,3,768
7,3,711
7,3,494
7,3,602
7,3,1058
7,3,562
7,3,597
7,3,423
7,3,711
7,3,892
7,3,763
7,3,677
7,3,725
7,3,959
7,3,631
7,3,456
7,3,631
7,3,989
7,3,824
7,3,1081
7,3,637
7,3,550
7,3,755
7,3,478
