SCALAR,ACTIVATION,EPOCH
2,2,863
2,2,1340
2,2,992
2,2,1216
2,2,989
2,2,906
2,2,889
2,2,955
2,2,1218
2,2,1050
2,2,1060
2,2,1001
2,2,1095
2,2,1151
2,2,1012
2,2,1219
2,2,994
2,2,988
2,2,1249
2,2,837
2,2,1026
2,2,1101
2,2,736
2,2,1017
2,2,1178
2,2,1320
2,2,882
2,2,975
2,2,1103
2,2,565
2,2,932
2,2,1076
2,2,877
2,2,784
2,2,937
2,2,1222
2,2,1093
2,2,1132
2,2,1272
2,2,1048
2,2,1202
2,2,1013
2,2,842
2,2,1126
2,2,1026
2,2,1137
2,2,894
2,2,1101
2,2,1112
2,2,1400
2,2,1302
2,2,1322
2,2,717
2,2,989
2,2,1046
2,2,1166
2,2,1050
2,2,1076
2,2,1034
2,2,1207
2,2,1122
2,2,1109
2,2,1045
2,2,1503
2,2,1857
2,2,1113
2,2,970
2,2,1318
2,2,763
2,2,990
2,2,1025
2,2,1226
2,2,1042
2,2,1129
2,2,935
2,2,834
2,2,917
2,2,1296
2,2,1645
2,2,1190
2,2,1032
2,2,1142
2,2,1227
2,2,952
2,2,972
2,2,1040
2,2,1176
2,2,1016
2,2,977
2,2,997
2,2,671
2,2,1131
2,2,1017
2,2,1067
2,2,1074
2,2,1213
2,2,1207
2,2,657
2,2,1071
2,2,1235
