SCALAR,ACTIVATION,EPOCH
2,1,2436
2,1,4705
2,1,4559
2,1,4619
2,1,4405
2,1,3541
2,1,2163
2,1,1969
2,1,4227
2,1,2941
2,1,7184
2,1,3418
2,1,1809
2,1,3388
2,1,2507
2,1,4332
2,1,4060
2,1,32814
2,1,3935
2,1,4809
2,1,3837
2,1,3688
2,1,4645
2,1,7655
2,1,2998
2,1,2068
2,1,4117
2,1,3762
2,1,3638
2,1,4041
2,1,2875
2,1,2366
2,1,4136
2,1,1927
2,1,2757
2,1,4111
2,1,2917
2,1,3961
2,1,2468
2,1,3991
2,1,4437
2,1,5574
2,1,3654
2,1,5876
2,1,4836
2,1,2111
2,1,4346
2,1,4082
2,1,2680
2,1,2005
2,1,4669
2,1,1753
2,1,2235
2,1,5655
2,1,4788
2,1,4534
2,1,14319
2,1,4511
2,1,4521
2,1,3774
2,1,4415
2,1,2638
2,1,2397
2,1,4423
2,1,2846
2,1,4991
2,1,3434
2,1,4638
2,1,3239
2,1,3799
2,1,4149
2,1,2626
2,1,4653
2,1,3667
2,1,2808
2,1,2527
2,1,3306
2,1,3587
2,1,4849
2,1,3820
2,1,4028
2,1,4564
2,1,3846
2,1,4157
2,1,2697
2,1,2355
2,1,4467
2,1,2789
2,1,3113
2,1,3384
2,1,5892
2,1,3305
2,1,2558
2,1,3512
2,1,4963
2,1,3831
2,1,4664
2,1,6915
2,1,2296
2,1,3863
