SCALAR,ACTIVATION,EPOCH
2,3,1058
2,3,1024
2,3,1122
2,3,1136
2,3,1152
2,3,1074
2,3,1145
2,3,1144
2,3,1077
2,3,1226
2,3,1043
2,3,1191
2,3,1088
2,3,1199
2,3,993
2,3,1047
2,3,1046
2,3,878
2,3,1151
2,3,1075
2,3,1222
2,3,1097
2,3,1007
2,3,1174
2,3,1161
2,3,1052
2,3,1149
2,3,1177
2,3,938
2,3,1171
2,3,1031
2,3,1094
2,3,930
2,3,1160
2,3,1069
2,3,1001
2,3,1108
2,3,1184
2,3,1223
2,3,1100
2,3,1168
2,3,1070
2,3,1061
2,3,1293
2,3,1273
2,3,1113
2,3,1254
2,3,1156
2,3,1226
2,3,1090
2,3,1075
2,3,1109
2,3,1084
2,3,971
2,3,1150
2,3,1064
2,3,1058
2,3,1206
2,3,1052
2,3,1001
2,3,1114
2,3,1134
2,3,1092
2,3,1115
2,3,1055
2,3,1070
2,3,1128
2,3,882
2,3,908
2,3,1090
2,3,1164
2,3,998
2,3,1122
2,3,1039
2,3,945
2,3,1073
2,3,1239
2,3,1110
2,3,1076
2,3,1158
2,3,916
2,3,1283
2,3,1078
2,3,998
2,3,1136
2,3,1136
2,3,1145
2,3,1073
2,3,996
2,3,1012
2,3,1101
2,3,1175
2,3,1120
2,3,1041
2,3,1077
2,3,1144
2,3,1033
2,3,1183
2,3,1031
2,3,1060
