SCALAR,ACTIVATION,EPOCH
6,2,204
6,2,386
6,2,365
6,2,443
6,2,212
6,2,375
6,2,163
6,2,233
6,2,566
6,2,209
6,2,185
6,2,429
6,2,304
6,2,180
6,2,389
6,2,363
6,2,102
6,2,200
6,2,458
6,2,358
6,2,450
6,2,390
6,2,228
6,2,380
6,2,199
6,2,214
6,2,615
6,2,271
6,2,367
6,2,272
6,2,136
6,2,229
6,2,336
6,2,310
6,2,130
6,2,213
6,2,325
6,2,384
6,2,510
6,2,570
6,2,315
6,2,374
6,2,382
6,2,180
6,2,227
6,2,388
6,2,121
6,2,235
6,2,244
6,2,370
6,2,225
6,2,322
6,2,195
6,2,446
6,2,360
6,2,327
6,2,235
6,2,292
6,2,559
6,2,277
6,2,134
6,2,435
6,2,422
6,2,316
6,2,458
6,2,185
6,2,254
6,2,401
6,2,440
6,2,310
6,2,309
6,2,118
6,2,199
6,2,362
6,2,114
6,2,365
6,2,352
6,2,114
6,2,181
6,2,379
6,2,325
6,2,297
6,2,203
6,2,291
6,2,598
6,2,177
6,2,176
6,2,442
6,2,108
6,2,557
6,2,309
6,2,186
6,2,222
6,2,225
6,2,144
6,2,275
6,2,264
6,2,348
6,2,393
6,2,424
