SCALAR,ACTIVATION,EPOCH
6,1,505
6,1,833
6,1,2198
6,1,513
6,1,378
6,1,440
6,1,1081
6,1,435
6,1,1026
6,1,3853
6,1,853
6,1,1045
6,1,421
6,1,1316
6,1,232
6,1,745
6,1,627
6,1,551
6,1,503
6,1,1356
6,1,540
6,1,853
6,1,231
6,1,3821
6,1,1307
6,1,3389
6,1,2859
6,1,429
6,1,1160
6,1,231
6,1,265
6,1,1062
6,1,3163
6,1,278
6,1,543
6,1,2883
6,1,1172
6,1,240
6,1,754
6,1,2447
6,1,1465
6,1,335
6,1,249
6,1,373
6,1,435
6,1,374
6,1,431
6,1,2778
6,1,336
6,1,472
6,1,372
6,1,312
6,1,891
6,1,2499
6,1,423
6,1,2084
6,1,403
6,1,257
6,1,554
6,1,225
6,1,140
6,1,268
6,1,203
6,1,345
6,1,151
6,1,433
6,1,1024
6,1,513
6,1,418
6,1,278
6,1,140
6,1,548
6,1,502
6,1,223
6,1,744
6,1,1386
6,1,1867
6,1,1719
6,1,689
6,1,636
6,1,645
6,1,1766
6,1,226
6,1,533
6,1,2447
6,1,1174
6,1,1504
6,1,600
6,1,1258
6,1,2625
6,1,666
6,1,1887
6,1,400
6,1,1543
6,1,191
6,1,205
6,1,3342
6,1,1443
6,1,284
6,1,346
