SCALAR,ACTIVATION,EPOCH
6,3,588
6,3,660
6,3,283
6,3,384
6,3,734
6,3,480
6,3,496
6,3,530
6,3,446
6,3,418
6,3,313
6,3,732
6,3,715
6,3,551
6,3,352
6,3,467
6,3,586
6,3,356
6,3,569
6,3,514
6,3,505
6,3,764
6,3,685
6,3,379
6,3,721
6,3,258
6,3,526
6,3,597
6,3,338
6,3,1051
6,3,927
6,3,405
6,3,849
6,3,303
6,3,722
6,3,666
6,3,600
6,3,620
6,3,359
6,3,689
6,3,329
6,3,1042
6,3,627
6,3,558
6,3,505
6,3,387
6,3,485
6,3,356
6,3,600
6,3,505
6,3,334
6,3,435
6,3,301
6,3,414
6,3,523
6,3,584
6,3,359
6,3,250
6,3,782
6,3,421
6,3,894
6,3,382
6,3,552
6,3,465
6,3,394
6,3,591
6,3,591
6,3,554
6,3,405
6,3,638
6,3,333
6,3,478
6,3,711
6,3,492
6,3,420
6,3,478
6,3,421
6,3,631
6,3,724
6,3,448
6,3,618
6,3,563
6,3,618
6,3,819
6,3,543
6,3,493
6,3,719
6,3,810
6,3,629
6,3,401
6,3,517
6,3,458
6,3,384
6,3,689
6,3,710
6,3,574
6,3,1136
6,3,450
6,3,1124
6,3,480
