SCALAR,ACTIVATION,EPOCH
4,2,622
4,2,1349
4,2,1428
4,2,891
4,2,791
4,2,1063
4,2,1199
4,2,1812
4,2,1321
4,2,1158
4,2,1249
4,2,1849
4,2,1972
4,2,1344
4,2,807
4,2,1137
4,2,919
4,2,1263
4,2,1248
4,2,2754
4,2,1436
4,2,1371
4,2,970
4,2,1382
4,2,1088
4,2,1457
4,2,1659
4,2,1247
4,2,1343
4,2,1502
4,2,969
4,2,1671
4,2,2081
4,2,1398
4,2,1817
4,2,1537
4,2,1231
4,2,1470
4,2,864
4,2,2280
4,2,448
4,2,982
4,2,782
4,2,1312
4,2,2736
4,2,1755
4,2,1648
4,2,950
4,2,1347
4,2,1889
4,2,1018
4,2,771
4,2,1607
4,2,1660
4,2,1723
4,2,1166
4,2,1407
4,2,2268
4,2,1565
4,2,1876
4,2,1797
4,2,1134
4,2,787
4,2,1184
4,2,1390
4,2,2832
4,2,1095
4,2,2095
4,2,2057
4,2,930
4,2,1190
4,2,914
4,2,962
4,2,1547
4,2,1774
4,2,1251
4,2,2192
4,2,929
4,2,891
4,2,1074
4,2,1906
4,2,1263
4,2,1183
4,2,1184
4,2,1209
4,2,1586
4,2,2510
4,2,990
4,2,1018
4,2,1870
4,2,1431
4,2,1054
4,2,1294
4,2,2096
4,2,1630
4,2,1637
4,2,808
4,2,2064
4,2,1129
4,2,1347
