SCALAR,ACTIVATION,EPOCH
4,1,4974
4,1,5294
4,1,3354
4,1,4552
4,1,4609
4,1,3762
4,1,8192
4,1,6052
4,1,8154
4,1,4785
4,1,7366
4,1,8518
4,1,2752
4,1,4169
4,1,2261
4,1,5894
4,1,1459
4,1,1972
4,1,1126
4,1,5785
4,1,6133
4,1,3338
4,1,1536
4,1,7946
4,1,6482
4,1,5994
4,1,5219
4,1,1224
4,1,3949
4,1,4624
4,1,5314
4,1,2139
4,1,4914
4,1,9988
4,1,4131
4,1,3098
4,1,6399
4,1,3668
4,1,5134
4,1,4104
4,1,3580
4,1,3696
4,1,4813
4,1,1153
4,1,3380
4,1,4497
4,1,5341
4,1,2657
4,1,2421
4,1,1194
4,1,9038
4,1,5017
4,1,915
4,1,2576
4,1,6229
4,1,7887
4,1,3524
4,1,3190
4,1,6360
4,1,3632
4,1,1700
4,1,1547
4,1,1955
4,1,9273
4,1,1474
4,1,4995
4,1,7357
4,1,5040
4,1,3120
4,1,5498
4,1,8645
4,1,4533
4,1,5698
4,1,7996
4,1,6686
4,1,5167
4,1,4153
4,1,1622
4,1,1555
4,1,688
4,1,8995
4,1,1272
4,1,5299
4,1,4353
4,1,4501
4,1,3358
4,1,4496
4,1,3381
4,1,2930
4,1,3417
4,1,3632
4,1,838
4,1,2220
4,1,922
4,1,4549
4,1,5446
4,1,5964
4,1,6352
4,1,2377
4,1,2026
