SCALAR,ACTIVATION,EPOCH
4,3,1071
4,3,1592
4,3,2985
4,3,2024
4,3,1432
4,3,3157
4,3,2428
4,3,1615
4,3,2077
4,3,1642
4,3,1225
4,3,1002
4,3,2894
4,3,1864
4,3,1978
4,3,1562
4,3,2901
4,3,1610
4,3,2286
4,3,2703
4,3,2822
4,3,3296
4,3,3778
4,3,1918
4,3,2982
4,3,2111
4,3,4684
4,3,4358
4,3,3904
4,3,1329
4,3,1976
4,3,1977
4,3,1806
4,3,1235
4,3,1440
4,3,1745
4,3,2915
4,3,2395
4,3,2155
4,3,2442
4,3,4045
4,3,2504
4,3,2149
4,3,1839
4,3,3337
4,3,2581
4,3,1792
4,3,1211
4,3,4809
4,3,3855
4,3,1436
4,3,2694
4,3,2718
4,3,1405
4,3,3493
4,3,2472
4,3,1662
4,3,3062
4,3,1779
4,3,4076
4,3,1475
4,3,4620
4,3,1688
4,3,2842
4,3,4265
4,3,2613
4,3,2421
4,3,4239
4,3,2301
4,3,1836
4,3,2828
4,3,2844
4,3,1411
4,3,1645
4,3,1397
4,3,3367
4,3,2903
4,3,3957
4,3,2322
4,3,1783
4,3,1467
4,3,1725
4,3,1544
4,3,1788
4,3,2761
4,3,2353
4,3,1634
4,3,1085
4,3,1718
4,3,2135
4,3,2610
4,3,1668
4,3,2337
4,3,1569
4,3,1717
4,3,2541
4,3,2554
4,3,1671
4,3,2332
4,3,4197
