SCALAR,ACTIVATION,EPOCH
8,2,38786
8,2,14210
8,2,10286
8,2,42214
8,2,2181
8,2,12978
8,2,29451
8,2,33174
8,2,2502
8,2,46510
8,2,38507
8,2,22544
8,2,1559
8,2,58189
8,2,26325
8,2,68715
8,2,22010
8,2,6779
8,2,13288
8,2,24742
8,2,2548
8,2,16976
8,2,31824
8,2,58130
8,2,23840
8,2,7647
8,2,54879
8,2,49326
8,2,28954
8,2,28646
8,2,35444
8,2,21246
8,2,5737
8,2,22157
8,2,33033
8,2,15521
8,2,63711
8,2,39689
8,2,3633
8,2,5481
8,2,20102
8,2,30151
8,2,39972
8,2,30376
8,2,42919
8,2,52159
8,2,20568
8,2,7417
8,2,14590
8,2,68520
8,2,14869
8,2,9033
8,2,16407
8,2,15553
8,2,2558
8,2,17570
8,2,4351
8,2,56802
8,2,45813
8,2,31620
8,2,19753
8,2,26549
8,2,23992
8,2,22561
8,2,34770
8,2,19336
8,2,51158
8,2,13613
8,2,17098
8,2,46329
8,2,52236
8,2,32775
8,2,52138
8,2,38864
8,2,6843
8,2,40018
8,2,23797
8,2,8575
8,2,30063
8,2,31518
8,2,8805
8,2,54095
8,2,39022
8,2,51351
8,2,63380
8,2,17856
8,2,3638
8,2,12981
8,2,12418
8,2,88466
8,2,34496
8,2,50032
8,2,10184
8,2,12558
8,2,36019
8,2,12670
8,2,32604
8,2,42524
8,2,35907
8,2,30075
