SCALAR,ACTIVATION,EPOCH
8,1,25888
8,1,20076
8,1,24901
8,1,46907
8,1,25430
8,1,39271
8,1,16348
8,1,29800
8,1,27350
8,1,38521
8,1,34668
8,1,52507
8,1,20345
8,1,23654
8,1,36168
8,1,25800
8,1,38613
8,1,38185
8,1,18312
8,1,25323
8,1,32323
8,1,32869
8,1,27996
8,1,31691
8,1,17013
8,1,68111
8,1,30112
8,1,21719
8,1,40224
8,1,34016
8,1,23275
8,1,22045
8,1,36309
8,1,29215
8,1,16964
8,1,51047
8,1,19309
8,1,25291
8,1,35200
8,1,37027
8,1,41257
8,1,22445
8,1,26030
8,1,54426
8,1,21789
8,1,25979
8,1,40014
8,1,32065
8,1,35312
8,1,17400
8,1,35074
8,1,35721
8,1,30784
8,1,20489
8,1,48878
8,1,49555
8,1,24222
8,1,17125
8,1,37909
8,1,17707
8,1,71030
8,1,41734
8,1,9431
8,1,33656
8,1,26270
8,1,13644
8,1,23214
8,1,43264
8,1,16964
8,1,20609
8,1,31674
8,1,24289
8,1,26559
8,1,29931
8,1,37463
8,1,25367
8,1,71510
8,1,24557
8,1,35716
8,1,23413
8,1,16175
8,1,28955
8,1,28038
8,1,26345
8,1,16707
8,1,34422
8,1,29937
8,1,23505
8,1,30069
8,1,25788
8,1,15427
8,1,29268
8,1,24037
8,1,19503
8,1,33704
8,1,31091
8,1,36557
8,1,24169
8,1,40832
8,1,27117
