SCALAR,ACTIVATION,EPOCH
8,3,131846
8,3,39271
8,3,94451
8,3,42534
8,3,58189
8,3,136878
8,3,62563
8,3,136927
8,3,188136
8,3,173215
8,3,87565
8,3,137495
8,3,110570
8,3,76392
8,3,56379
8,3,116541
8,3,58966
8,3,39454
8,3,94393
8,3,108204
8,3,74379
8,3,32600
8,3,76103
8,3,94381
8,3,122521
8,3,86069
8,3,35794
8,3,39577
8,3,66294
8,3,108595
8,3,110628
8,3,120848
8,3,25375
8,3,62137
8,3,77851
8,3,44165
8,3,277063
8,3,88722
8,3,96530
8,3,58242
8,3,147929
8,3,137188
8,3,24781
8,3,115389
8,3,59932
8,3,120030
8,3,83169
8,3,64897
8,3,195666
8,3,46607
8,3,107112
8,3,141838
8,3,95352
8,3,146208
8,3,54247
8,3,59887
8,3,125844
8,3,99508
8,3,25751
8,3,112008
8,3,64244
8,3,54742
8,3,131236
8,3,66243
8,3,171211
8,3,224805
8,3,58526
8,3,94679
8,3,48431
8,3,81172
8,3,97117
8,3,98487
8,3,41507
8,3,99032
8,3,34003
8,3,37419
8,3,50972
8,3,128399
8,3,84393
8,3,91414
8,3,118804
8,3,55867
8,3,125902
8,3,116209
8,3,128400
8,3,93907
8,3,77133
8,3,207897
8,3,132559
8,3,79869
8,3,93826
8,3,62640
8,3,62624
8,3,126735
8,3,76110
8,3,51702
8,3,150351
8,3,50825
8,3,73237
8,3,47194
