SCALAR,ACTIVATION,EPOCH
2,1,1153
2,1,1364
2,1,1170
2,1,1096
2,1,1318
2,1,1329
2,1,1315
2,1,1315
2,1,1331
2,1,1165
2,1,1340
2,1,1219
2,1,1182
2,1,1177
2,1,1177
2,1,1158
2,1,1345
2,1,1156
2,1,1245
2,1,1204
2,1,1172
2,1,1439
2,1,1245
2,1,1244
2,1,1334
2,1,1371
2,1,1328
2,1,1201
2,1,1096
2,1,1173
2,1,1379
2,1,1362
2,1,1177
2,1,1154
2,1,1238
2,1,1308
2,1,1021
2,1,1303
2,1,1104
2,1,1190
2,1,1140
2,1,1351
2,1,1323
2,1,1321
2,1,1185
2,1,1412
2,1,1289
2,1,1270
2,1,1270
2,1,1363
2,1,1250
2,1,1086
2,1,1326
2,1,1219
2,1,1064
2,1,1278
2,1,1154
2,1,1112
2,1,1157
2,1,1090
2,1,1243
2,1,1197
2,1,1142
2,1,1347
2,1,1361
2,1,1229
2,1,1404
2,1,1174
2,1,1358
2,1,1225
2,1,1263
2,1,1384
2,1,1421
2,1,1325
2,1,1148
2,1,1333
2,1,1214
2,1,1388
2,1,1195
2,1,1447
2,1,1114
2,1,1313
2,1,1181
2,1,1189
2,1,1220
2,1,1090
2,1,1232
2,1,1320
2,1,1387
2,1,1226
2,1,1110
2,1,1304
2,1,1388
2,1,1176
2,1,1274
2,1,1290
2,1,1089
2,1,1372
2,1,1086
2,1,1423
