SCALAR,ACTIVATION,EPOCH
2,2,731
2,2,835
2,2,950
2,2,694
2,2,727
2,2,902
2,2,888
2,2,938
2,2,789
2,2,629
2,2,907
2,2,922
2,2,627
2,2,741
2,2,914
2,2,900
2,2,905
2,2,624
2,2,670
2,2,746
2,2,710
2,2,961
2,2,737
2,2,956
2,2,839
2,2,758
2,2,955
2,2,944
2,2,676
2,2,915
2,2,682
2,2,725
2,2,691
2,2,789
2,2,886
2,2,725
2,2,853
2,2,936
2,2,1031
2,2,694
2,2,777
2,2,1058
2,2,912
2,2,896
2,2,920
2,2,932
2,2,895
2,2,673
2,2,729
2,2,832
2,2,829
2,2,1012
2,2,737
2,2,720
2,2,692
2,2,669
2,2,871
2,2,897
2,2,909
2,2,664
2,2,863
2,2,948
2,2,707
2,2,910
2,2,993
2,2,637
2,2,1090
2,2,3156
2,2,1008
2,2,860
2,2,982
2,2,1015
2,2,639
2,2,857
2,2,897
2,2,654
2,2,769
2,2,935
2,2,959
2,2,764
2,2,685
2,2,743
2,2,872
2,2,945
2,2,670
2,2,879
2,2,886
2,2,683
2,2,646
2,2,942
2,2,789
2,2,724
2,2,807
2,2,833
2,2,706
2,2,888
2,2,678
2,2,637
2,2,957
2,2,733
