SCALAR,ACTIVATION,EPOCH
2,3,916
2,3,792
2,3,853
2,3,818
2,3,843
2,3,835
2,3,855
2,3,871
2,3,846
2,3,825
2,3,776
2,3,859
2,3,847
2,3,826
2,3,799
2,3,859
2,3,856
2,3,836
2,3,855
2,3,862
2,3,814
2,3,886
2,3,866
2,3,826
2,3,847
2,3,879
2,3,811
2,3,825
2,3,798
2,3,835
2,3,825
2,3,805
2,3,883
2,3,816
2,3,835
2,3,862
2,3,852
2,3,840
2,3,791
2,3,809
2,3,779
2,3,861
2,3,849
2,3,839
2,3,833
2,3,823
2,3,851
2,3,909
2,3,886
2,3,859
2,3,800
2,3,861
2,3,855
2,3,845
2,3,805
2,3,825
2,3,888
2,3,838
2,3,830
2,3,806
2,3,862
2,3,838
2,3,857
2,3,858
2,3,802
2,3,828
2,3,905
2,3,809
2,3,793
2,3,852
2,3,906
2,3,856
2,3,906
2,3,820
2,3,799
2,3,893
2,3,848
2,3,828
2,3,820
2,3,853
2,3,850
2,3,829
2,3,812
2,3,857
2,3,835
2,3,842
2,3,859
2,3,831
2,3,784
2,3,781
2,3,868
2,3,827
2,3,929
2,3,847
2,3,832
2,3,836
2,3,862
2,3,798
2,3,840
2,3,770
