SCALAR,ACTIVATION,EPOCH
3,2,2062
3,2,1784
3,2,1748
3,2,1760
3,2,1672
3,2,1667
3,2,1761
3,2,1724
3,2,1918
3,2,1707
3,2,1833
3,2,1688
3,2,2435
3,2,3210
3,2,1681
3,2,1725
3,2,1771
3,2,1644
3,2,2164
3,2,1838
3,2,1767
3,2,1714
3,2,1700
3,2,1905
3,2,1775
3,2,1987
3,2,1850
3,2,1911
3,2,1655
3,2,1815
3,2,2097
3,2,1695
3,2,1750
3,2,1778
3,2,1961
3,2,1884
3,2,1816
3,2,2264
3,2,1862
3,2,1634
3,2,1619
3,2,2053
3,2,1733
3,2,1753
3,2,1928
3,2,1928
3,2,1753
3,2,2148
3,2,1911
3,2,1937
3,2,1930
3,2,1882
3,2,1812
3,2,1856
3,2,1640
3,2,1957
3,2,1713
3,2,1799
3,2,2029
3,2,1659
3,2,1763
3,2,1792
3,2,1912
3,2,1735
3,2,1964
3,2,2033
3,2,1632
3,2,1703
3,2,1716
3,2,1839
3,2,1608
3,2,1757
3,2,2072
3,2,1939
3,2,2015
3,2,2115
3,2,1811
3,2,1838
3,2,1857
3,2,1690
3,2,1880
3,2,1663
3,2,2051
3,2,1783
3,2,1755
3,2,1870
3,2,3020
3,2,1752
3,2,1694
3,2,2137
3,2,1853
3,2,1782
3,2,1876
3,2,1803
3,2,1967
3,2,1976
3,2,1845
3,2,2016
3,2,1822
3,2,2051
