SCALAR,ACTIVATION,EPOCH
4,1,3096
4,1,2877
4,1,2561
4,1,1763
4,1,2310
4,1,2225
4,1,1258
4,1,1529
4,1,2275
4,1,2708
4,1,2797
4,1,3463
4,1,1517
4,1,2496
4,1,2011
4,1,1531
4,1,2681
4,1,3045
4,1,2628
4,1,2649
4,1,2369
4,1,1812
4,1,2848
4,1,1461
4,1,2805
4,1,1325
4,1,2259
4,1,2780
4,1,2124
4,1,1613
4,1,2316
4,1,3032
4,1,2062
4,1,2668
4,1,1434
4,1,1423
4,1,1515
4,1,1527
4,1,2281
4,1,1552
4,1,2608
4,1,1931
4,1,1719
4,1,1527
4,1,2734
4,1,1129
4,1,2716
4,1,1562
4,1,2161
4,1,1828
4,1,2497
4,1,1525
4,1,1902
4,1,2646
4,1,1877
4,1,1939
4,1,1858
4,1,3082
4,1,3009
4,1,1385
4,1,2129
4,1,2206
4,1,3696
4,1,2024
4,1,3191
4,1,2086
4,1,2286
4,1,1996
4,1,2943
4,1,2116
4,1,1284
4,1,1693
4,1,2170
4,1,2437
4,1,3551
4,1,2459
4,1,1267
4,1,3202
4,1,2455
4,1,1590
4,1,1761
4,1,2597
4,1,2418
4,1,3802
4,1,2649
4,1,2584
4,1,2883
4,1,2049
4,1,2033
4,1,2422
4,1,1746
4,1,1622
4,1,1189
4,1,1556
4,1,1525
4,1,1041
4,1,2140
4,1,2470
4,1,1092
4,1,1108
