SCALAR,ACTIVATION,EPOCH
4,3,2315
4,3,2083
4,3,1309
4,3,2150
4,3,2578
4,3,2090
4,3,1683
4,3,2100
4,3,2177
4,3,1634
4,3,1568
4,3,1517
4,3,1747
4,3,1782
4,3,2202
4,3,1640
4,3,2411
4,3,1889
4,3,1611
4,3,1525
4,3,1570
4,3,2084
4,3,2556
4,3,1964
4,3,1226
4,3,2330
4,3,1808
4,3,2112
4,3,1230
4,3,2089
4,3,1903
4,3,1887
4,3,1265
4,3,2387
4,3,2272
4,3,2313
4,3,1875
4,3,1582
4,3,2196
4,3,1207
4,3,2230
4,3,1029
4,3,1915
4,3,2402
4,3,2714
4,3,1904
4,3,1523
4,3,1618
4,3,1333
4,3,2123
4,3,2146
4,3,1392
4,3,1762
4,3,2583
4,3,1916
4,3,1788
4,3,1430
4,3,2506
4,3,2767
4,3,2032
4,3,1260
4,3,1584
4,3,1716
4,3,1948
4,3,2159
4,3,2259
4,3,2465
4,3,1401
4,3,2286
4,3,1799
4,3,1280
4,3,1901
4,3,1620
4,3,1486
4,3,2796
4,3,1695
4,3,2005
4,3,2728
4,3,1840
4,3,2571
4,3,1659
4,3,2151
4,3,1641
4,3,1758
4,3,1877
4,3,2337
4,3,2366
4,3,2047
4,3,2537
4,3,2274
4,3,1464
4,3,2476
4,3,2340
4,3,2282
4,3,2482
4,3,2782
4,3,1578
4,3,1879
4,3,2650
4,3,2415
