SCALAR,ACTIVATION,EPOCH
5,1,43221
5,1,43204
5,1,43193
5,1,43203
5,1,43213
5,1,43191
5,1,43202
5,1,43197
5,1,43193
5,1,43193
5,1,43186
5,1,43173
5,1,43220
5,1,43185
5,1,43183
5,1,43196
5,1,43182
5,1,43206
5,1,43198
5,1,43209
5,1,43201
5,1,43181
5,1,43182
5,1,43210
5,1,43198
5,1,43213
5,1,43212
5,1,43171
5,1,43181
5,1,43179
5,1,43188
5,1,43176
5,1,43207
5,1,43209
5,1,43215
5,1,43215
5,1,43203
5,1,43212
5,1,43192
5,1,43200
5,1,43229
5,1,43195
5,1,43204
5,1,43195
5,1,43192
5,1,43199
5,1,43207
5,1,43193
5,1,43196
5,1,43181
5,1,43235
5,1,43225
5,1,43217
5,1,43192
5,1,43204
5,1,43194
5,1,43214
5,1,43196
5,1,43195
5,1,43191
5,1,43200
5,1,43184
5,1,43189
5,1,43200
5,1,43230
5,1,43184
5,1,43207
5,1,43201
5,1,43191
5,1,43219
5,1,43224
5,1,43184
5,1,43209
5,1,43196
5,1,43176
5,1,43192
5,1,43218
5,1,43175
5,1,43206
5,1,43211
5,1,43193
5,1,43196
5,1,43179
5,1,43200
5,1,43229
5,1,43193
5,1,43201
5,1,43160
5,1,43170
5,1,43191
5,1,43213
5,1,43198
5,1,43181
5,1,43192
5,1,43217
5,1,43219
5,1,43192
5,1,43215
5,1,43208
5,1,43191
