SCALAR,ACTIVATION,EPOCH
6,2,820
6,2,362
6,2,1623
6,2,859
6,2,2110
6,2,2292
6,2,1665
6,2,691
6,2,4010
6,2,893
6,2,262
6,2,514
6,2,477
6,2,1048
6,2,4457
6,2,3104
6,2,1410
6,2,3697
6,2,238
6,2,370
6,2,401
6,2,823
6,2,2309
6,2,286
6,2,539
6,2,1644
6,2,2306
6,2,1397
6,2,2871
6,2,4261
6,2,2112
6,2,1294
6,2,497
6,2,1769
6,2,4537
6,2,3068
6,2,240
6,2,514
6,2,1450
6,2,1332
6,2,351
6,2,3458
6,2,732
6,2,1016
6,2,447
6,2,366
6,2,603
6,2,4428
6,2,2337
6,2,6042
6,2,790
6,2,2445
6,2,287
6,2,3510
6,2,1199
6,2,823
6,2,1515
6,2,5172
6,2,301
6,2,5558
6,2,2619
6,2,269
6,2,224
6,2,509
6,2,4102
6,2,6601
6,2,878
6,2,2247
6,2,7512
6,2,1145
6,2,314
6,2,1357
6,2,2316
6,2,615
6,2,320
6,2,3466
6,2,924
6,2,533
6,2,1714
6,2,410
6,2,316
6,2,751
6,2,1171
6,2,1586
6,2,5460
6,2,3152
6,2,1144
6,2,671
6,2,853
6,2,2240
6,2,390
6,2,283
6,2,4261
6,2,313
6,2,390
6,2,376
6,2,2161
6,2,2600
6,2,684
6,2,565
