SCALAR,ACTIVATION,EPOCH
7,1,819
7,1,803
7,1,837
7,1,879
7,1,871
7,1,806
7,1,919
7,1,833
7,1,860
7,1,880
7,1,908
7,1,1109
7,1,1083
7,1,1062
7,1,885
7,1,933
7,1,960
7,1,913
7,1,901
7,1,752
7,1,803
7,1,890
7,1,486
7,1,783
7,1,766
7,1,855
7,1,812
7,1,857
7,1,688
7,1,829
7,1,943
7,1,719
7,1,826
7,1,746
7,1,905
7,1,859
7,1,830
7,1,851
7,1,726
7,1,791
7,1,1033
7,1,886
7,1,553
7,1,1106
7,1,750
7,1,950
7,1,876
7,1,818
7,1,832
7,1,822
7,1,859
7,1,788
7,1,795
7,1,845
7,1,734
7,1,807
7,1,915
7,1,719
7,1,764
7,1,728
7,1,783
7,1,765
7,1,924
7,1,836
7,1,866
7,1,924
7,1,933
7,1,974
7,1,775
7,1,987
7,1,762
7,1,914
7,1,701
7,1,898
7,1,838
7,1,796
7,1,1008
7,1,931
7,1,887
7,1,792
7,1,809
7,1,1116
7,1,736
7,1,873
7,1,969
7,1,924
7,1,778
7,1,937
7,1,892
7,1,861
7,1,805
7,1,830
7,1,943
7,1,695
7,1,805
7,1,855
7,1,847
7,1,810
7,1,873
7,1,863
