SCALAR,ACTIVATION,EPOCH
7,3,625
7,3,554
7,3,627
7,3,344
7,3,458
7,3,185
7,3,297
7,3,805
7,3,454
7,3,482
7,3,378
7,3,356
7,3,709
7,3,341
7,3,446
7,3,402
7,3,506
7,3,291
7,3,238
7,3,570
7,3,481
7,3,336
7,3,545
7,3,321
7,3,399
7,3,271
7,3,513
7,3,267
7,3,739
7,3,332
7,3,706
7,3,255
7,3,521
7,3,1135
7,3,295
7,3,877
7,3,417
7,3,356
7,3,795
7,3,369
7,3,354
7,3,325
7,3,627
7,3,191
7,3,354
7,3,427
7,3,301
7,3,326
7,3,215
7,3,854
7,3,390
7,3,1227
7,3,754
7,3,557
7,3,476
7,3,345
7,3,341
7,3,369
7,3,593
7,3,841
7,3,467
7,3,410
7,3,393
7,3,368
7,3,737
7,3,448
7,3,236
7,3,561
7,3,526
7,3,337
7,3,308
7,3,477
7,3,741
7,3,461
7,3,598
7,3,362
7,3,441
7,3,744
7,3,312
7,3,301
7,3,290
7,3,553
7,3,372
7,3,566
7,3,397
7,3,404
7,3,405
7,3,489
7,3,860
7,3,307
7,3,549
7,3,342
7,3,331
7,3,274
7,3,420
7,3,497
7,3,379
7,3,209
7,3,330
7,3,426
