SCALAR,ACTIVATION,EPOCH
9,1,24815
9,1,24852
9,1,24862
9,1,24848
9,1,24831
9,1,24841
9,1,24840
9,1,24834
9,1,24822
9,1,24173
9,1,24874
9,1,24831
9,1,24862
9,1,24835
9,1,24847
9,1,24871
9,1,24867
9,1,24824
9,1,24846
9,1,24854
9,1,24859
9,1,24813
9,1,24815
9,1,24880
9,1,24877
9,1,23936
9,1,24865
9,1,24838
9,1,24856
9,1,24834
9,1,24867
9,1,23916
9,1,24851
9,1,24881
9,1,24875
9,1,23924
9,1,24873
9,1,24867
9,1,24868
9,1,24825
9,1,24857
9,1,24864
9,1,23930
9,1,24843
9,1,23913
9,1,24867
9,1,24828
9,1,24885
9,1,24830
9,1,24853
9,1,23940
9,1,24833
9,1,24839
9,1,24870
9,1,24871
9,1,24835
9,1,23936
9,1,24846
9,1,24858
9,1,23921
9,1,24841
9,1,24843
9,1,24833
9,1,24797
9,1,24834
9,1,24837
9,1,24831
9,1,24860
9,1,24880
9,1,24849
9,1,23917
9,1,24856
9,1,24826
9,1,23927
9,1,24885
9,1,23849
9,1,24852
9,1,23933
9,1,24819
9,1,24860
9,1,24850
9,1,24868
9,1,24839
9,1,24877
9,1,24877
9,1,23921
9,1,24890
9,1,24853
9,1,24849
9,1,24877
9,1,24840
9,1,24836
9,1,24861
9,1,24827
9,1,24835
9,1,23919
9,1,24883
9,1,24829
9,1,24878
9,1,24841
