SCALAR,ACTIVATION,EPOCH
9,3,23394
9,3,23421
9,3,23444
9,3,23425
9,3,23441
9,3,23432
9,3,23438
9,3,23437
9,3,23419
9,3,23435
9,3,23438
9,3,23420
9,3,23435
9,3,23431
9,3,23425
9,3,23421
9,3,23418
9,3,23432
9,3,23420
9,3,23437
9,3,23427
9,3,23416
9,3,23386
9,3,23430
9,3,23425
9,3,23421
9,3,23456
9,3,23440
9,3,23425
9,3,23437
9,3,23426
9,3,23418
9,3,23434
9,3,23428
9,3,23423
9,3,23429
9,3,23401
9,3,23435
9,3,23414
9,3,23435
9,3,23432
9,3,23418
9,3,23444
9,3,23426
9,3,23438
9,3,23434
9,3,23426
9,3,23427
9,3,23419
9,3,23449
9,3,23434
9,3,23428
9,3,23429
9,3,23428
9,3,23388
9,3,23429
9,3,23408
9,3,23433
9,3,23419
9,3,23422
9,3,23423
9,3,23446
9,3,23438
9,3,23437
9,3,23417
9,3,23407
9,3,23444
9,3,23416
9,3,23400
9,3,23433
9,3,23429
9,3,23428
9,3,23418
9,3,23433
9,3,23425
9,3,23427
9,3,23421
9,3,23422
9,3,23447
9,3,23444
9,3,23408
9,3,23435
9,3,23412
9,3,23425
9,3,23444
9,3,23439
9,3,23437
9,3,23427
9,3,23404
9,3,23437
9,3,23418
9,3,23432
9,3,23429
9,3,23400
9,3,23434
9,3,23437
9,3,23412
9,3,23437
9,3,23438
9,3,23442
