SCALAR,ACTIVATION,EPOCH
1,1,615
1,1,621
1,1,592
1,1,642
1,1,780
1,1,661
1,1,776
1,1,672
1,1,606
1,1,534
1,1,589
1,1,701
1,1,670
1,1,653
1,1,632
1,1,599
1,1,719
1,1,642
1,1,632
1,1,734
1,1,688
1,1,607
1,1,688
1,1,614
1,1,682
1,1,564
1,1,666
1,1,618
1,1,709
1,1,791
1,1,777
1,1,714
1,1,662
1,1,653
1,1,608
1,1,690
1,1,685
1,1,648
1,1,648
1,1,530
1,1,690
1,1,697
1,1,656
1,1,622
1,1,659
1,1,698
1,1,663
1,1,715
1,1,663
1,1,671
1,1,623
1,1,645
1,1,701
1,1,697
1,1,852
1,1,694
1,1,661
1,1,682
1,1,727
1,1,781
1,1,633
1,1,760
1,1,691
1,1,678
1,1,731
1,1,612
1,1,665
1,1,575
1,1,578
1,1,658
1,1,622
1,1,653
1,1,774
1,1,637
1,1,793
1,1,554
1,1,736
1,1,692
1,1,614
1,1,646
1,1,602
1,1,707
1,1,666
1,1,609
1,1,672
1,1,810
1,1,631
1,1,612
1,1,639
1,1,728
1,1,634
1,1,562
1,1,819
1,1,672
1,1,686
1,1,804
1,1,660
1,1,650
1,1,586
1,1,652
1,2,178
1,2,59
1,2,92
1,2,197
1,2,119
1,2,69
1,2,285
1,2,64
1,2,48
1,2,51
1,2,85
1,2,255
1,2,246
1,2,348
1,2,243
1,2,71
1,2,84
1,2,156
1,2,131
1,2,84
1,2,303
1,2,22
1,2,65
1,2,48
1,2,82
1,2,69
1,2,92
1,2,238
1,2,76
1,2,180
1,2,75
1,2,126
1,2,59
1,2,245
1,2,306
1,2,187
1,2,85
1,2,187
1,2,325
1,2,184
1,2,48
1,2,80
1,2,215
1,2,86
1,2,107
1,2,74
1,2,211
1,2,67
1,2,68
1,2,88
1,2,218
1,2,242
1,2,138
1,2,133
1,2,58
1,2,135
1,2,151
1,2,70
1,2,35
1,2,92
1,2,64
1,2,374
1,2,212
1,2,58
1,2,138
1,2,107
1,2,127
1,2,389
1,2,57
1,2,27
1,2,78
1,2,53
1,2,72
1,2,105
1,2,151
1,2,192
1,2,77
1,2,207
1,2,344
1,2,147
1,2,81
1,2,137
1,2,151
1,2,297
1,2,159
1,2,64
1,2,195
1,2,325
1,2,73
1,2,95
1,2,289
1,2,265
1,2,83
1,2,80
1,2,73
1,2,287
1,2,107
1,2,161
1,2,145
1,2,151
1,3,565
1,3,548
1,3,435
1,3,554
1,3,535
1,3,438
1,3,427
1,3,553
1,3,497
1,3,395
1,3,467
1,3,472
1,3,431
1,3,422
1,3,411
1,3,541
1,3,521
1,3,467
1,3,553
1,3,384
1,3,468
1,3,495
1,3,449
1,3,471
1,3,576
1,3,437
1,3,479
1,3,458
1,3,335
1,3,565
1,3,368
1,3,542
1,3,435
1,3,514
1,3,428
1,3,499
1,3,485
1,3,444
1,3,477
1,3,337
1,3,361
1,3,478
1,3,481
1,3,512
1,3,481
1,3,534
1,3,465
1,3,523
1,3,486
1,3,450
1,3,532
1,3,466
1,3,542
1,3,463
1,3,570
1,3,554
1,3,536
1,3,442
1,3,446
1,3,551
1,3,519
1,3,482
1,3,466
1,3,468
1,3,446
1,3,381
1,3,427
1,3,472
1,3,495
1,3,479
1,3,448
1,3,425
1,3,522
1,3,571
1,3,429
1,3,448
1,3,470
1,3,482
1,3,450
1,3,474
1,3,524
1,3,366
1,3,569
1,3,522
1,3,554
