SCALAR,ACTIVATION,EPOCH
3,2,23990
3,2,4254
3,2,4259
3,2,3170
3,2,3736
3,2,8559
3,2,5337
3,2,3782
3,2,71528
3,2,5334
3,2,8227
3,2,30694
3,2,5405
3,2,1000000
3,2,3888
3,2,3788
3,2,5480
3,2,3657
3,2,3637
3,2,71951
3,2,5476
3,2,716324
3,2,3584
3,2,3617
3,2,4027
3,2,3501
3,2,7337
3,2,112657
3,2,7315
3,2,8255
3,2,87314
3,2,4553
3,2,8230
3,2,4438
3,2,3736
3,2,3248
3,2,5394
3,2,8135
3,2,3397
3,2,3169
3,2,4372
3,2,5086
3,2,8483
3,2,3616
3,2,5444
3,2,3722
3,2,5369
3,2,8233
3,2,5406
3,2,3409
3,2,8089
3,2,23826
3,2,5479
3,2,3781
3,2,87741
3,2,3541
3,2,8283
3,2,110081
3,2,3247
3,2,91326
3,2,3248
3,2,4522
3,2,43891
3,2,3615
3,2,3724
3,2,5384
3,2,7298
3,2,4290
3,2,119652
3,2,4370
3,2,8246
3,2,8280
3,2,75232
3,2,7910
3,2,3403
3,2,3513
3,2,5431
3,2,6078
3,2,3447
3,2,4177
3,2,42742
3,2,3944
3,2,3326
3,2,8232
3,2,5422
3,2,5446
3,2,8166
3,2,8114
3,2,10015
3,2,3868
3,2,1000000
3,2,3233
3,2,538397
3,2,76090
3,2,6240
3,2,151072
3,2,143313
3,2,3654
3,2,11697
3,2,6246
3,1,7318
3,1,7818
3,1,8184
3,1,5339
3,1,6609
3,1,7906
3,1,5696
3,1,4651
3,1,6262
3,1,7509
3,1,5956
3,1,5454
3,1,8116
3,1,5109
3,1,7576
3,1,6364
3,1,7709
3,1,5407
3,1,6221
3,1,6205
3,1,6273
3,1,6125
3,1,7394
3,1,6787
3,1,8631
3,1,7645
3,1,7360
3,1,4784
3,1,7333
3,1,5400
3,1,6194
3,1,5820
3,1,6158
3,1,6794
3,1,5276
3,1,7262
3,1,6527
3,1,5740
3,1,7261
3,1,6334
3,1,7372
3,1,7261
3,1,6137
3,1,5543
3,1,7430
3,1,7020
3,1,6841
3,1,5586
3,1,7661
3,1,8102
3,1,5645
3,1,7582
3,1,6927
3,1,5857
3,1,4964
3,1,5147
3,1,5613
3,1,5328
3,1,5428
3,1,5475
3,1,10795
3,1,8303
3,1,6209
3,1,6222
3,1,6830
3,1,5215
3,1,6017
3,1,7572
3,1,8050
3,1,6141
3,1,5564
3,1,7427
3,1,5771
3,1,6695
3,1,6562
3,1,5488
3,1,5793
3,1,5532
3,1,7814
3,1,6853
3,1,5222
3,1,7121
3,1,5620
3,1,6880
3,1,5385
3,1,6875
3,1,9306
3,1,5876
3,1,7819
3,1,6245
3,1,6464
3,1,6043
3,1,6533
3,1,6299
3,1,6086
3,1,8931
3,1,6169
3,1,5339
3,1,6545
3,1,6636
3,3,13217
3,3,9763
3,3,10154
3,3,12946
3,3,14263
3,3,9463
3,3,74125
3,3,1000000
3,3,9750
3,3,13227
3,3,8034
3,3,13165
3,3,12942
3,3,1000000
3,3,16978
3,3,16933
3,3,9875
3,3,14000
3,3,29107
3,3,1000000
3,3,10954
3,3,9132
3,3,12423
3,3,8273
3,3,1000000
3,3,9795
3,3,13640
3,3,7924
3,3,13803
3,3,10691
3,3,14579
3,3,1000000
3,3,28561
3,3,17103
3,3,65879
3,3,8720
3,3,8001
3,3,22170
3,3,10068
3,3,12672
3,3,7408
3,3,13369
3,3,12297
3,3,1000000
3,3,386034
3,3,13381
3,3,20559
3,3,14721
3,3,13018
3,3,9675
3,3,1000000
3,3,8255
3,3,13725
3,3,95161
3,3,11610
3,3,35437
3,3,31150
3,3,17638
3,3,12920
3,3,208247
3,3,91360
3,3,1000000
3,3,10020
3,3,12559
3,3,13093
3,3,9904
3,3,12886
3,3,9229
3,3,13668
3,3,15097
3,3,9885
3,3,10289
3,3,200041
3,3,7130
3,3,1000000
3,3,16951
3,3,40389
3,3,10118
3,3,33768
3,3,1000000
3,3,7967
3,3,8094
3,3,539711
3,3,9301
3,3,70705
3,3,10611
3,3,30809
3,3,13751
3,3,13251
3,3,10171
3,3,1000000
3,3,9289
3,3,341472
3,3,1000000
3,3,1000000
3,3,9356
3,3,11255
3,3,12543
3,3,13300
3,3,9174
5,2,16410
5,2,13901
5,2,17892
5,2,13756
5,2,15376
5,2,15021
5,2,14354
5,2,15054
5,2,35111
5,2,14919
5,2,13490
5,2,1000000
5,2,15869
5,2,14620
5,2,1000000
5,2,14015
5,2,14038
5,2,14364
5,2,15560
5,2,1000000
5,2,36755
5,2,13917
5,2,17309
5,2,16120
5,2,15507
5,2,30041
5,2,16808
5,2,14756
5,2,14809
